Component#1,Component#2,SMILES1,SMILES2,X#1 (molar fraction).1,X#2 (molar fraction).1,"Temperature, K","Density, g/cm^3",Reference (DOI)
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.188,0.75,293.15,1.809,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.19,0.75,363.15,1.806,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.188,0.75,298.15,1.804,10.1016/j.molliq.2022.119396
Zinc bromide,urea,[Zn+2].[Br-].[Br-],C(=O)(N)N,0.333,0.333,300.2,1.8033,10.1016/j.cclet.2013.09.004
"neodymium nitrate, nd(no3)3",urea,[N+](=O)(O)[O-].[Nd],C(=O)(N)N,0.167,0.778,298,1.801,10.1021/acssuschemeng.8b05548
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.188,0.75,303.15,1.8,10.1016/j.molliq.2022.119396
cerium(iii) nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ce+3],C(=O)(N)N,0.167,0.778,298,1.789,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.188,0.75,313.15,1.788,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.167,0.778,293.15,1.782,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.167,0.778,298.15,1.777,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.167,0.778,303.15,1.774,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.188,0.75,323.15,1.772,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.188,0.75,333.15,1.769,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.167,0.778,313.15,1.761,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.188,0.75,343.15,1.759,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.127,0.833,293.15,1.757,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.127,0.833,298.15,1.752,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.167,0.778,323.15,1.751,10.1016/j.molliq.2022.119396
Zinc bromide,acetamide,[Zn+2].[Br-].[Br-],CC(=O)N,0.333,0.333,300.2,1.7499,10.1016/j.cclet.2013.09.004
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.188,0.75,353.15,1.748,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.127,0.833,303.15,1.748,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.167,0.778,333.15,1.742,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.188,0.75,363.15,1.736,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.127,0.833,313.15,1.736,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.167,0.778,343.15,1.733,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.127,0.833,323.15,1.725,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.167,0.778,353.15,1.722,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.127,0.833,333.15,1.717,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.167,0.778,363.15,1.71,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.127,0.833,343.15,1.707,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.125,0.833,293.15,1.702,10.1016/j.molliq.2022.119396
Zinc bromide,"n,n-dimethyl urea",[Zn+2].[Br-].[Br-],CN(C)C(=O)N,0.333,0.333,300.2,1.7012,10.1016/j.cclet.2013.09.004
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.125,0.833,293.15,1.7,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.127,0.833,353.15,1.697,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.125,0.833,298.15,1.697,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.125,0.833,298.15,1.695,10.1016/j.molliq.2022.119396
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.125,0.833,303.15,1.694,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.125,0.833,303.15,1.692,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.127,0.833,363.15,1.685,doi:10.1002/aic.18095
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.125,0.833,313.15,1.681,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.125,0.833,313.15,1.68,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.095,0.875,293.15,1.677,doi:10.1002/aic.18095
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.095,0.875,298.15,1.672,10.1016/j.jct.2020.106051
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.125,0.833,323.15,1.671,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.125,0.833,323.15,1.67,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.095,0.875,303.15,1.669,10.1016/j.jct.2020.106051
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.125,0.833,333.15,1.663,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.125,0.833,333.15,1.662,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.095,0.875,313.15,1.657,10.1016/j.jct.2020.106051
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.125,0.833,343.15,1.654,10.1016/j.molliq.2022.119396
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.125,0.833,343.15,1.652,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.095,0.875,323.15,1.647,10.1016/j.jct.2020.106051
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.125,0.833,353.15,1.644,10.1021/acssuschemeng.8b05548
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.125,0.833,353.15,1.642,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.095,0.875,333.15,1.639,doi:10.1002/aic.18095
Zinc bromide,acetamide,[Zn+2].[Br-].[Br-],CC(=O)N,0.25,0.5,300.2,1.6369,10.1016/j.cclet.2013.09.004
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.125,0.833,363.15,1.632,doi:10.1002/aic.18095
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.094,0.875,293.15,1.632,doi:10.1002/aic.18095
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.125,0.833,363.15,1.631,10.1021/acssuschemeng.8b03520
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.094,0.875,293.15,1.63,10.1021/acssuschemeng.8b03520
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.095,0.875,343.15,1.63,10.1016/j.jmgm.2022.108319
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.094,0.875,298.15,1.628,doi:10.1002/aic.18095
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.094,0.875,298.15,1.626,10.1016/j.foodchem.2018.09.048
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.094,0.875,303.15,1.624,doi:10.1002/aic.18095
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.094,0.875,303.15,1.623,10.1016/j.foodchem.2018.09.048
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.095,0.875,353.15,1.62,10.1016/j.jmgm.2022.108319
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.094,0.875,313.15,1.613,doi:10.1002/aic.18095
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.094,0.875,313.15,1.611,10.1016/j.foodchem.2018.09.048
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.095,0.875,363.15,1.608,10.1016/j.jmgm.2022.108319
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.094,0.875,323.15,1.603,doi:10.1002/aic.18095
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.094,0.875,323.15,1.602,10.1016/j.jcou.2022.102217
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.094,0.875,333.15,1.596,doi:10.1002/aic.18095
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.094,0.875,333.15,1.594,10.1016/j.jcou.2022.102217
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.6,0.4,333,1.5921,10.1016/j.molliq.2017.09.091
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.094,0.875,343.15,1.587,doi:10.1002/aic.18095
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.583,0.417,333,1.586,10.1016/j.molliq.2017.09.091
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.094,0.875,343.15,1.585,10.1016/j.jcou.2022.102217
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.6,0.4,343,1.5823,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.583,0.417,343,1.5774,10.1016/j.molliq.2017.09.091
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.094,0.875,353.15,1.577,doi:10.1002/aic.18095
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.094,0.875,353.15,1.575,10.1016/j.jcou.2022.102217
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.6,0.4,353,1.5728,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.565,0.435,333,1.5721,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.583,0.417,353,1.5684,10.1016/j.molliq.2017.09.091
Cerium(III) nitrate hexahydrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ce+3],C(=O)(N)N,0.094,0.875,363.15,1.566,doi:10.1002/aic.18095
lanthanum nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[La+3],C(=O)(N)N,0.094,0.875,363.15,1.564,10.1016/j.jcou.2022.102217
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.565,0.435,343,1.5635,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.6,0.4,363,1.5624,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.545,0.455,333,1.5606,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.583,0.417,363,1.5599,10.1016/j.molliq.2017.09.091
Triethylsulfonium Bis(trifluoromethanesulfonyl)imide,"2,2,2-trifluoroacetamide",CC[S+](CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(=O)(C(F)(F)F)N,0.24,0.76,313.1,1.5577,10.1016/j.molliq.2016.07.039
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.565,0.435,353,1.5551,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.6,0.4,373,1.5534,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.545,0.455,343,1.5522,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.583,0.417,373,1.5508,10.1016/j.molliq.2017.09.091
Triethylsulfonium Bis(trifluoromethanesulfonyl)imide,"2,2,2-trifluoroacetamide",CC[S+](CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(=O)(C(F)(F)F)N,0.24,0.76,318.24,1.5485,10.1016/j.molliq.2016.07.039
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.565,0.435,363,1.5463,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.545,0.455,353,1.5443,10.1016/j.molliq.2017.09.091
l-carnitine,hexafluoroisopropanol,C[N+](C)(C)CC(CC(=O)[O-])O,C(C(F)(F)F)(C(F)(F)F)O,0.286,0.714,298.15,1.542,10.1016/j.jcou.2022.102217
Triethylsulfonium Bis(trifluoromethanesulfonyl)imide,"2,2,2-trifluoroacetamide",CC[S+](CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(=O)(C(F)(F)F)N,0.24,0.76,323.23,1.5404,10.1016/j.molliq.2016.07.039
Triethylsulfonium Bis(trifluoromethanesulfonyl)imide,"2,2,2-trifluoroacetamide",CC[S+](CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(=O)(C(F)(F)F)N,0.24,0.76,328.22,1.538,10.1016/j.molliq.2016.07.039
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.565,0.435,373,1.538,10.1016/j.molliq.2017.09.091
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.545,0.455,363,1.5352,10.1016/j.molliq.2017.09.091
Triethylsulfonium Bis(trifluoromethanesulfonyl)imide,"2,2,2-trifluoroacetamide",CC[S+](CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(=O)(C(F)(F)F)N,0.24,0.76,333.21,1.5346,10.1016/j.molliq.2016.07.039
Triethylsulfonium Bis(trifluoromethanesulfonyl)imide,"2,2,2-trifluoroacetamide",CC[S+](CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(=O)(C(F)(F)F)N,0.24,0.76,338.2,1.5288,10.1016/j.molliq.2016.07.039
aluminium chloride anhydrous,urea,[Al+3].[Cl-].[Cl-].[Cl-],C(=O)(N)N,0.545,0.455,373,1.5275,10.1016/j.molliq.2017.09.091
Triethylsulfonium Bis(trifluoromethanesulfonyl)imide,"2,2,2-trifluoroacetamide",CC[S+](CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(=O)(C(F)(F)F)N,0.24,0.76,343.19,1.5253,10.1016/j.molliq.2016.07.039
betaine,hexafluoroisopropanol,C[N+](C)(C)CC(=O)[O-],C(C(F)(F)F)(C(F)(F)F)O,0.25,0.75,298.15,1.525,10.1039/C4RA10628H
Triethylsulfonium Bis(trifluoromethanesulfonyl)imide,"2,2,2-trifluoroacetamide",CC[S+](CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(=O)(C(F)(F)F)N,0.24,0.76,348.18,1.5184,10.1016/j.molliq.2016.07.039
aluminium chloride anhydrous,acetamide,[Al+3].[Cl-].[Cl-].[Cl-],CC(=O)N,0.6,0.4,313,1.5175,10.1016/j.molliq.2017.09.091
