Component#1,Component#2,SMILES1,SMILES2,X#1 (molar fraction),X#2 (molar fraction),"DES melting temperature, K",Reference (DOI),T#1,T#2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CCC(=O)O,0.2,0.8,278.687,10.3390/molecules25051077,315.7,291.3
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.6,0.4,279,10.3390/molecules25051077,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.3,0.7,279,10.3390/molecules25051077,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.3026,0.6974,279.55,10.1016/j.molliq.2020.113667,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",cyclohexanecarboxylic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)C(=O)O,0.3,0.7,282,10.3390/molecules25051077,315.7,299.4
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CCC(=O)O,0.1,0.9,283.535,10.3390/molecules25051077,315.7,291.3
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.2,0.8,284,10.3390/molecules25051077,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CCC(=O)O,0.6,0.4,284.21,10.3390/molecules25051077,315.7,321.1
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.1,0.9,286,10.3390/molecules25051077,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.6975,0.3025,286.9,10.1016/j.molliq.2020.113667,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.5,0.5,287,10.3390/molecules25051077,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.7,0.3,287,10.3390/molecules25051077,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",4-phenylbutanoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CCCC(=O)O,0.61,0.39,287.2,10.3390/molecules26144208,315.7,321.15
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",cyclohexanecarboxylic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)C(=O)O,0.7,0.3,287.92,10.3390/molecules25051077,315.7,299.4
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",cyclohexanecarboxylic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)C(=O)O,0.2,0.8,287.92,10.3390/molecules25051077,315.7,299.4
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.7,0.3,288,10.3390/molecules25051077,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.6977,0.3023,288.4,10.1016/j.molliq.2020.113667,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.7,0.3,289,10.3390/molecules25051077,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CCC(=O)O,0.7,0.3,289.19,10.3390/molecules25051077,315.7,291.3
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CCC(=O)O,0.5,0.5,290.35,10.3390/molecules25051077,315.7,321.1
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecan-1-ol,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCO,0.7,0.3,290.6,10.1021/acs.jpcb.0c02386,315.7,311.7
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",2-phenylacetic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CC(=O)O,0.65,0.35,290.8,10.3390/molecules26144208,315.7,349.6
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CCC(=O)O,0.7,0.3,291.67,10.3390/molecules25051077,315.7,321.1
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.4,0.6,292,10.3390/molecules25051077,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.3934,0.6066,292.65,10.1016/j.molliq.2020.113667,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecan-1-ol,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCO,0.598,0.402,294,10.1021/acs.jpcb.0c02386,315.7,311.7
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecan-1-ol,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCO,0.798,0.202,294.6,10.1021/acs.jpcb.0c02386,315.7,311.7
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.667,0.333,294.64,10.1002/aic.17408,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",cyclohexanecarboxylic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)C(=O)O,0.1,0.9,295.03,10.3390/molecules25051077,315.7,299.4
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.3,0.7,296,10.3390/molecules25051077,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.8,0.2,296.17,10.1021/acssuschemeng.8b01203,315.7,327
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.2961,0.7039,296.19,10.1016/j.molliq.2020.113667,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.2986,0.7014,296.6,10.1016/j.molliq.2020.113667,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CCC(=O)O,0.4,0.6,296.93,10.3390/molecules25051077,315.7,321.1
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.6,0.4,297,10.3390/molecules25051077,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecan-1-ol,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCO,0.499,0.501,297.2,10.1021/acs.jpcb.0c02386,315.7,311.7
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",2-hydroxybenzoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C(=C1)C(=O)O)O,0.85,0.15,297.9,10.1039/C9CC04846D,315.7,432.15
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.8,0.2,298,10.3390/molecules25051077,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",cyclohexanecarboxylic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)C(=O)O,0.8,0.2,298,10.3390/molecules25051077,315.7,299.4
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.7984,0.2016,298.85,10.1016/j.molliq.2020.113667,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CCC(=O)O,0.8,0.2,298.9,10.3390/molecules25051077,315.7,291.3
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.2,0.8,299,10.3390/molecules25051077,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.8,0.2,299,10.3390/molecules25051077,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.8,0.2,299,10.3390/molecules25051077,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CCC(=O)O,0.8,0.2,299.56,10.3390/molecules25051077,315.7,321.1
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.1975,0.8025,300.15,10.1016/j.molliq.2020.113667,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.5,0.5,302,10.3390/molecules25051077,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecan-1-ol,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCO,0.399,0.601,302.6,10.1021/acs.jpcb.0c02386,315.7,311.7
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.1,0.9,303,10.3390/molecules25051077,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.7,0.3,303.76,10.1021/acssuschemeng.8b01203,315.7,327
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CCC(=O)O,0.3,0.7,303.95,10.3390/molecules25051077,315.7,321.1
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecan-1-ol,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCO,0.302,0.698,304.2,10.1021/acs.jpcb.0c02386,315.7,311.7
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.4,0.6,306,10.3390/molecules25051077,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",cyclohexanecarboxylic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)C(=O)O,0.9,0.1,306.29,10.3390/molecules25051077,315.7,299.4
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.9,0.1,306.35,10.1021/acssuschemeng.8b01203,315.7,327
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.9,0.1,307,10.3390/molecules25051077,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.9,0.1,307,10.3390/molecules25051077,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.8985,0.1015,307.1,10.1016/j.molliq.2020.113667,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CCC(=O)O,0.9,0.1,307.46,10.3390/molecules25051077,315.7,321.1
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecan-1-ol,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCO,0.897,0.103,307.6,10.1021/acs.jpcb.0c02386,315.7,311.7
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.8918,0.1082,307.65,10.1016/j.molliq.2020.113667,315.7,304.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.9,0.1,308,10.3390/molecules25051077,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CCC(=O)O,0.9,0.1,308.182,10.3390/molecules25051077,315.7,291.3
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",hexadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCC(=O)O,0.9,0.1,308.53,10.1021/acssuschemeng.8b01203,315.7,336.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCCCC(=O)O,0.9,0.1,308.6,10.1021/acssuschemeng.8b01203,315.7,343.67
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",hexadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCC(=O)O,0.8,0.2,308.61,10.1021/acssuschemeng.8b01203,315.7,336.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecan-1-ol,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCO,0.199,0.801,309,10.1021/acs.jpcb.0c02386,315.7,311.7
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.905,0.095,309.028,10.3390/molecules25051077,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CCC(=O)O,0.2,0.8,309.65,10.3390/molecules25051077,315.7,321.1
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.3,0.7,310,10.3390/molecules25051077,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecan-1-ol,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCO,0.101,0.899,310,10.1021/acs.jpcb.0c02386,315.7,311.7
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.6,0.4,310.93,10.1021/acssuschemeng.8b01203,315.7,327
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.2,0.8,312,10.3390/molecules25051077,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.25,0.75,312.22,10.1002/aic.17408,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.5,0.5,314.17,10.1021/acssuschemeng.8b01203,315.7,327
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1=CC=C(C=C1)CCC(=O)O,0.1,0.9,315.35,10.3390/molecules25051077,315.7,321.1
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",dodecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.1,0.9,316,10.3390/molecules25051077,315.7,317.5
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCCCC(=O)O,0.8,0.2,316.14,10.1021/acssuschemeng.8b01203,315.7,343.67
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",hexadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCC(=O)O,0.7,0.3,317.07,10.1021/acssuschemeng.8b01203,315.7,336.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.4,0.6,317.1,10.1021/acssuschemeng.8b01203,315.7,327
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.3,0.7,319.74,10.1021/acssuschemeng.8b01203,315.7,327
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",hexadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCC(=O)O,0.6,0.4,322.82,10.1021/acssuschemeng.8b01203,315.7,336.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.2,0.8,322.84,10.1021/acssuschemeng.8b01203,315.7,327
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCCCC(=O)O,0.7,0.3,322.99,10.1021/acssuschemeng.8b01203,315.7,343.67
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.1,0.9,324.97,10.1021/acssuschemeng.8b01203,315.7,327
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",hexadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCC(=O)O,0.5,0.5,325.36,10.1021/acssuschemeng.8b01203,315.7,336.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",hexadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCC(=O)O,0.41,0.59,327.3,10.1021/acssuschemeng.8b01203,315.7,336.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",hexadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCC(=O)O,0.3,0.7,329.91,10.1021/acssuschemeng.8b01203,315.7,336.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCCCC(=O)O,0.6,0.4,330.76,10.1021/acssuschemeng.8b01203,315.7,343.67
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",hexadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCC(=O)O,0.2,0.8,332.2,10.1021/acssuschemeng.8b01203,315.7,336.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCCCC(=O)O,0.5,0.5,332.85,10.1021/acssuschemeng.8b01203,315.7,343.67
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",hexadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCC(=O)O,0.1,0.9,333.43,10.1021/acssuschemeng.8b01203,315.7,336.8
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCCCC(=O)O,0.4,0.6,335.17,10.1021/acssuschemeng.8b01203,315.7,343.67
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCCCC(=O)O,0.31,0.69,336.77,10.1021/acssuschemeng.8b01203,315.7,343.67
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octadecanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCCCCCC(=O)O,0.2,0.8,338.68,10.1021/acssuschemeng.8b01203,315.7,343.67
